question,document,score,reasoning
I just found this course — is it too late to join now?,74eb249bbf,good,"The AI answer preserves the key meaning of the original: it says it is still possible to join, and that getting a certificate requires submitting the project before submissions close. This is semantically equivalent."
Can I still start the course if I'm coming in late?,74eb249bbf,good,"The AI answer preserves the key point: late enrollment is allowed, course materials are available, and certificate eligibility depends on submitting the project before submissions close. This is semantically equivalent to the ground truth."
"If I enroll now, is there any chance to get a certificate?",74eb249bbf,good,"The AI answer preserves the key point: a certificate is possible only if the project is submitted while submissions are still open. It adds extra conditions about live cohort/self-paced mode that are not in the original, but they do not contradict the ground truth. Overall it is semantically equivalent."
What do I need to do to be eligible for the course certificate?,74eb249bbf,bad,"The ground truth only says that to receive a certificate, you need to submit your project while submissions are still being accepted. The AI answer adds several extra requirements (live cohort, peer reviews, passing the capstone, homework not required) that are not supported by the original answer and may be inaccurate. Because it changes the stated eligibility requirements, it is not semantically equivalent."
Is the final project deadline the only thing that matters for getting certified?,74eb249bbf,bad,"The ground truth says yes: the final project deadline is the key requirement, and you must submit while submissions are still being accepted to receive a certificate. The AI answer contradicts this by saying 'No' and adds an incorrect peer-review requirement that is not mentioned in the original answer. It also says homework is not mandatory, which is irrelevant. Therefore it is not semantically equivalent."
I signed up for the LLM Zoomcamp — when should I expect the confirmation email?,977bf7786c,good,"The AI answer matches the ground truth: it says no confirmation email is needed, the person is accepted, they can start learning and submit homework while the form is open, and registration is only for gauging interest. This preserves the key meaning completely."
Do I actually need to wait for any approval email before I can start the course?,977bf7786c,good,"The AI answer conveys the key point that no approval email is needed and that the student is accepted and can start right away. It omits the extra detail about being able to submit homework without registering and that registration is only for gauging interest, but that omission does not change the core answer."
"If I never got a registration confirmation, can I still begin watching lessons and submitting homework?",977bf7786c,good,"The AI answer matches the ground truth: it says registration confirmation is not needed, you can start watching lessons and submitting homework without it, and registration is not checked against a list. It preserves the key point that registration is only for gauging interest, though it omits that this applies while the form is open. That omission does not change the main answer."
"Is there some accepted list for the LLM Zoomcamp, or can anyone just start once the form is open?",977bf7786c,good,"The AI answer matches the ground truth: no accepted list is needed, anyone can start learning and submitting homework while the form is open, and registration is only for gauging interest rather than checking against a list."
What is the point of registering for the course if it doesn’t seem to affect access?,977bf7786c,good,The AI answer captures the key point that registration is only for gauging interest before the start date and does not affect access. It also correctly says that learners can start learning and submitting homework while the form is open without registering. This is semantically equivalent to the ground truth.
How do students join the Office Hours or live workshop sessions if the Zoom link isn’t public?,489dd1c9d9,good,"The AI answer matches the ground truth: it correctly says the Zoom link is only for instructors/presenters/TAs, and that students join via YouTube Live, can watch on the DataTalksClub YouTube channel, use the video URL posted in Telegram/Slack announcements, and submit questions via Slido. It also correctly warns not to post questions in chat. Semantically equivalent."
Where can I find the live stream link for office hours before the session starts?,489dd1c9d9,good,"The AI answer matches the key information from the ground truth: the live stream link is posted in the announcements channel on Telegram and Slack before the session starts, and it is also available on the DataTalksClub YouTube Channel. It omits the Zoom-link restriction and Slido/chat details, but those are extra details not required by the question."
"Can I watch the workshop live on YouTube instead of Zoom, and where should I ask questions?",489dd1c9d9,good,"The AI answer correctly states that students can watch live on the DataTalksClub YouTube channel and that questions should be submitted via Slido rather than chat. It omits the detail that the Zoom link is only for instructors/presenters/TAs and that the video URL is posted in the announcements channel on Telegram/Slack, but those are extra details not essential to the core question. Overall it is semantically equivalent."
"Why don’t students get the Zoom link for live sessions, and what’s the recommended way to submit questions?",489dd1c9d9,good,"The AI answer matches the core points: the Zoom link is only for instructors/presenters/TAs, students should use YouTube Live, and questions should be submitted via Slido rather than chat. It omits the extra detail about where the video URL is posted and the YouTube channel link, but that is not essential to the question."
Is the office hours video posted somewhere in Telegram or Slack before it begins?,489dd1c9d9,good,"The AI answer correctly states that the video URL is posted in the announcements channel on Telegram and Slack before it begins. It omits extra details about YouTube Live, Slido, and the zoom link restriction, but those are not required to answer the question."
What’s the best way to begin LLM Zoomcamp and what should I read first?,04919992b3,good,"The AI answer matches the ground truth closely. It identifies the same three starting resources, describes the same typical workflow for lessons and homework, and notes that you can start anytime because materials are available. It omits the specific mention that deadlines are listed in the course management platform, but this is a minor detail and does not change the core answer."
"If I’m starting late, can I still join the course and follow along at my own pace?",04919992b3,bad,"The AI answer correctly conveys that a student can start late and follow the course materials at their own pace. However, it adds an unsupported claim about needing to complete the course with the live cohort to get a certificate, which is not present in the ground truth and may be misleading. The ground truth focuses on availability of videos/materials, deadlines on the course platform, and the typical workflow. The core question is answered, but the extra certificate requirement is not supported."
"What does a normal weekly routine look like for this course — videos, notebooks, homework, then submission?",04919992b3,good,"The AI answer matches the ground truth's core workflow exactly: watch videos, work through notebooks/code, read homework instructions on GitHub, and submit via the course platform before the deadline. It omits the introductory links and the note that you can start whenever you want, and it does not mention homework uses a different dataset/slightly different task, but those are extra details rather than the key point asked. The semantic answer is correct."
Where do I find the deadlines and homework submission link for LLM Zoomcamp?,04919992b3,good,"The AI answer correctly identifies the course management platform as the place for deadlines and says homework is submitted there before the deadline. It also points to the GitHub repo for homework instructions, which matches the ground truth. This is semantically equivalent."
"Are the homework tasks the same as the lesson exercises, or do they use different data/tasks?",04919992b3,good,The AI answer correctly states the key point: homework is similar to the lesson workflow but uses a different dataset or slightly different task. This matches the ground truth on the specific question asked. The extra logistics details from the original are not necessary to answer this question.
How do I find my own entry on the leaderboard if I can’t spot my name?,c2903069a0,good,"The AI answer correctly says to use the “Jump to your record on the leaderboard” link to find your entry and mentions that the account is automatically assigned a random display name. It also correctly notes that “Edit Course Profile” lets you see or change the displayed name. This matches the key information in the ground truth, though it omits some extra certificate-related details that are not necessary for the question."
"Why am I listed under a random name on the leaderboard, and can I change it?",c2903069a0,good,"The AI answer matches the ground truth: it explains that a random display name is automatically assigned, says you can change it via Edit Course Profile, correctly distinguishes the first field as the public nickname/display name and the second as the official certificate name. It omits the specific 'Jump to your record on the leaderboard' instruction, but that is not essential to the core question."
Where do I check what display name the course is using for me?,c2903069a0,good,"The AI answer correctly identifies that the display name can be checked via the ""Edit Course Profile"" button and that the first field is the displayed name/nickname. It omits the extra details about the random default name and the certificate name, but those are not required for answering the question."
What’s the difference between the nickname and the official name in the course profile?,c2903069a0,good,"The AI answer captures the core distinction correctly: the first field is the public nickname/display name (used on the leaderboard) and the second field is the official/legal name used on the certificate and matching ID documents. It omits some extra context from the ground truth about the random assigned name and how to find the entry, but that is not essential to the question."
How do I make sure my certificate shows my real name instead of the default one?,c2903069a0,good,The AI answer correctly identifies that the certificate name is controlled by the second field in Edit Course Profile and that it should be set to the official real name. It also correctly distinguishes the first field as the public nickname/display name. This matches the key point of the original answer.
Can I do the course on my own time and still get a certificate at the end?,69d122f12e,good,The AI answer preserves the key points: self-paced mode is allowed but does not earn a certificate; certificates require completing with a live cohort; and the reason involves peer-reviewing 3 capstone projects only while the course is running. This is semantically equivalent to the ground truth.
Is there any way to get a certificate if I’m not joining a live cohort?,69d122f12e,good,"The AI answer matches the ground truth: it clearly says certificates are only available with a live cohort, not in self-paced mode, and explains the peer-review requirement and timing. This preserves the key points without contradiction."
Why don’t you give certificates for the self-paced version of the course?,69d122f12e,good,"The AI answer conveys the same key points as the ground truth: no certificates for self-paced mode, certificates are only for live cohorts, and the reason is the requirement to peer-review 3 capstones, which is only possible while the course is actively running. This is semantically equivalent."
Do I need to participate while the course is running in order to qualify for the certificate?,69d122f12e,good,"The AI answer captures the essential point: certificate eligibility requires completing the course with a live cohort, not self-paced, because peer reviews must happen while the course is active. Although it phrases the first sentence as 'Yes' to participation, which is a bit less precise than the original 'No, you can only get a certificate if you finish the course with a live cohort,' the substantive meaning matches the ground truth."
"Is peer review required for the certificate, and can I do it after the course ends?",69d122f12e,good,"The AI answer captures the core point that peer review is required and cannot be done after the course ends. However, it incorrectly says 'Yes' to the first part in a way that can imply certificates are available generally, whereas the original answer says certificates are only awarded for a live cohort and not for self-paced mode. Despite that, the key restriction and timing are correctly stated, so the semantic content is mostly aligned."
Do I still get the certificate if I skipped the first homework?,9f689c185f,good,"The AI answer matches the ground truth: it says homework is optional, skipping the first homework does not affect certificate eligibility, and the certificate depends on passing the Capstone project. It also correctly notes homework influences leaderboard rank."
Is the capstone project the only thing I need to pass for the certificate?,9f689c185f,bad,"The AI answer directly contradicts the ground truth. The original says you only need to pass the Capstone project to get the certificate, and homework is optional. The AI incorrectly adds requirements to complete the course in a live cohort and peer-review 3 capstone projects, and states that passing the capstone alone is not enough. This changes the core meaning."
Are homework assignments required to finish the course and get certified?,9f689c185f,good,"The AI answer matches the ground truth: homework is not mandatory, the Capstone project must be passed to get the certificate, and homework is recommended and counts toward the leaderboard. It preserves the key meaning despite stating the first sentence negatively rather than positively."
"If homework is optional, does it still matter for anything in the course?",9f689c185f,bad,"The AI answer does not convey the ground truth. The correct answer says homework is optional but still matters because it is recommended for reinforcement and contributes to leaderboard rank, while passing the Capstone project is required for the certificate. Saying 'I don't know' misses all key information."
Can I miss the early homework and still be eligible for the certificate?,9f689c185f,good,The AI answer matches the ground truth: it states that homework is not mandatory for certificate eligibility and that passing the Capstone project is required. It also correctly notes homework is recommended. The extra mention about eligibility not being affected is consistent with the original.
