question,answer_llm,answer_orig,document
I just found this course — is it too late to join now?,"Yes, you can still join now. If you want a certificate, make sure to submit your project while submissions are still open.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
Can I still start the course if I'm coming in late?,"Yes — you can start whenever you want. The videos and GitHub materials are available, and you can follow the course workflow at your own pace.

If you want to receive a certificate, make sure you submit your project while submissions are still being accepted.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
"If I enroll now, is there any chance to get a certificate?","Yes — if you enroll now, there may still be a chance to get a certificate, but only if the course is still running as a live cohort and you submit your project while submissions are still open.

You cannot get a certificate in self-paced mode.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
What do I need to do to be eligible for the course certificate?,"To be eligible for the course certificate, you need to:

- **Finish the course with a live cohort** — the certificate is **not available for self-paced mode**.
- **Submit your capstone project on time** while submissions are still open.
- **Peer-review 3 other students’ capstones** after submitting your own project.
- **Pass the capstone project** — homework is **not required** for the certificate.

If you don’t complete the required peer reviews, you may fail to get the certificate.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
Is the final project deadline the only thing that matters for getting certified?,"No. For getting certified, the capstone project is the key requirement, but it’s not the only thing that matters. You also need to comply with the peer-review requirement: you must grade three fellow students’ projects, and not doing so may prevent you from getting the certificate.

Homework is not mandatory for certification.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
I signed up for the LLM Zoomcamp — when should I expect the confirmation email?,"You don’t need to wait for a confirmation email — you’re accepted. You can start learning and submitting homework while the form is open, and registration is only used to gauge interest before the start date.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
Do I actually need to wait for any approval email before I can start the course?,No. You don’t need to wait for any approval or confirmation email — you’re accepted and can start learning right away.,You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
"If I never got a registration confirmation, can I still begin watching lessons and submitting homework?","Yes — you can start watching the lessons and submitting homework even without a registration confirmation. The course says you don’t need the confirmation email, and registration is not checked against a list.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
"Is there some accepted list for the LLM Zoomcamp, or can anyone just start once the form is open?","There isn’t an accepted list you need to be on. You can just start learning and submitting homework while the form is open — registration is only to gauge interest, and it’s not checked against a list.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
What is the point of registering for the course if it doesn’t seem to affect access?,"Registration is just to gauge interest before the start date. It doesn’t control access, and you can start learning and submitting homework without it while the form is open.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
