question,answer_agent,answer_orig,tool_calls,cost,document
I just found this course — is it too late to join now?,"Yes — you can still join anytime and start learning on your own.

A couple of things to note:
- The videos and course materials are available, so you can begin whenever you want.
- If you want a certificate, you need to submit your project while submissions are still open.

If you want, I can also point you to the course docs and platform so you can get started quickly.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.","[{'name': 'search', 'arguments': '{""query"":""too late to join course late enrollment start anytime registration deadlines""}'}]",0.00122175,74eb249bbf
Can I still start the course if I'm coming in late?,"Yes — you can still start the course late.

The FAQ says: **“You can start whenever you want.”** The videos, GitHub materials, and docs are available, so you can catch up at your own pace. If you want a certificate, the main thing is to **submit your project while submissions are still open**.

If you want, I can also point you to the recommended way to start and catch up quickly.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.","[{'name': 'search', 'arguments': '{""query"":""coming in late start the course late enrollment late start can I still join""}'}]",0.001269,74eb249bbf
"If I enroll now, is there any chance to get a certificate?","Yes — but only if you can still finish the course with the live cohort.

From the FAQ: you can get a certificate if you **complete the course while it’s running live** and **submit your project while submissions are still open**. Certificates are **not** awarded for self-paced participation.

If you just enrolled now, the key question is whether the **project submission window** and cohort activities are still open. If they are, you still have a chance.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.","[{'name': 'search', 'arguments': '{""query"":""enroll now certificate chance get a certificate late enrollment certificate eligibility""}'}]",0.00123975,74eb249bbf
What do I need to do to be eligible for the course certificate?,"To be eligible for the course certificate:

- You must finish the course with a **live cohort** — certificates are **not** awarded for self-paced mode.
- You need to **pass the Capstone project**.
- If you want a certificate, you must **submit your project while submissions are still open**.
- Homework is **not mandatory** for the certificate, though it is recommended.

Also, you need to be able to **peer-review 3 capstone submissions** after you submit your project, since that’s part of the certificate process.

If you want, I can also explain how to set the name that appears on your certificate.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.","[{'name': 'search', 'arguments': '{""query"":""course certificate eligibility requirements certificate""}'}]",0.001446,74eb249bbf
Is the final project deadline the only thing that matters for getting certified?,"No. For certification, the capstone project is the key requirement, but it’s not the only thing that can affect it.

From the FAQ:
- **Passing the capstone project is mandatory** for the certificate.
- **Homework is not mandatory** and missing a homework won’t affect your certificate.
- You also need to **participate in the peer-review process** for the capstone; not grading three fellow students may cause you to **fail to achieve the certificate**.

So the final project deadline matters, but certification also depends on completing the capstone and the required peer reviews.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.","[{'name': 'search', 'arguments': '{""query"":""final project deadline certified only thing matters getting certified deadline certification final project""}'}]",0.00136275,74eb249bbf
I signed up for the LLM Zoomcamp — when should I expect the confirmation email?,"You don’t need to wait for a confirmation email — you’re already accepted.

You can start learning and submitting homework as long as the form is open. Registration is just used to gauge interest before the course starts, and it’s not checked against a registered list.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,"[{'name': 'search', 'arguments': '{""query"":""LLM Zoomcamp confirmation email when should I expect""}'}]",0.0011415,977bf7786c
Do I actually need to wait for any approval email before I can start the course?,"No — you don’t need to wait for an approval or confirmation email. The FAQ says you’re already accepted, and you can start learning right away and submit homework while the form is open. Registration is just for gauging interest.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,"[{'name': 'search', 'arguments': '{""query"":""approval email start course wait for approval email before starting course""}'}]",0.0010815,977bf7786c
"If I never got a registration confirmation, can I still begin watching lessons and submitting homework?","Yes — you can still start watching lessons and submitting homework.

According to the course FAQ, you **don’t need the registration confirmation email**. Registration is just to gauge interest, and it is **not checked against a registered list**. You can begin learning and submit homework **while the homework form is open**.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,"[{'name': 'search', 'arguments': '{""query"":""registration confirmation begin watching lessons submitting homework without confirmation""}'}]",0.0012525,977bf7786c
"Is there some accepted list for the LLM Zoomcamp, or can anyone just start once the form is open?","There isn’t an accepted list you need to be on.

For LLM Zoomcamp, the FAQ says you’re considered accepted, and you can just start learning and submitting homework **while the form is open**. Registration is mainly just to gauge interest before the start date, not to check against a separate list.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,"[{'name': 'search', 'arguments': '{""query"":""LLM Zoomcamp accepted list form open anyone start FAQ""}'}]",0.0011805,977bf7786c
What is the point of registering for the course if it doesn’t seem to affect access?,"Registering is mainly just to gauge interest before the start date. You don’t need a registration confirmation to access the course, and it isn’t checked against a registered list. In practice, you can just start learning and submit homework while the form is open.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,"[{'name': 'search', 'arguments': '{""query"":""registering for the course affect access point of registering access""}'}]",0.0012120,977bf7786c
How do students join the Office Hours or live workshop sessions if the Zoom link isn’t public?,"Students don’t get the Zoom link directly.

For Office Hours or live/workshop sessions:
- Join via **YouTube Live**
- Submit questions through **Slido** — the link is usually pinned in the live chat
- The session video link is posted in the **announcements channel on Telegram and Slack** before it starts
- You can also watch on the **DataTalksClub YouTube channel**

So if the Zoom link isn’t public, that’s expected: it’s only shared with instructors/presenters/TAs.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.","[{'name': 'search', 'arguments': '{""query"":""students join Office Hours live workshop sessions Zoom link not public""}'}]",0.00137175,489dd1c9d9
Where can I find the live stream link for office hours before the session starts?,"The Zoom link itself is only shared with instructors/presenters/TAs.

For students, the office hours/live session is streamed on YouTube Live, and the video URL is posted **before it starts** in the **announcements channel on Telegram and Slack**. You can also watch it on the **DataTalksClub YouTube channel**.

If you want, I can also point you to the Slido/Q&A part for asking questions during the session.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.","[{'name': 'search', 'arguments': '{""query"":""live stream link office hours before session starts""}'}]",0.00140475,489dd1c9d9
"Can I watch the workshop live on YouTube instead of Zoom, and where should I ask questions?","Yes — you can watch the workshop live on the DataTalksClub YouTube channel instead of Zoom.

For questions, don’t use the YouTube chat. Students should submit questions in **Slido**; the link is usually **pinned in the live chat** when the session is live.

Also, the video link is typically posted in the **announcements channel on Telegram and Slack** before the workshop starts.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.","[{'name': 'search', 'arguments': '{""query"":""watch workshop live on YouTube instead of Zoom ask questions where should I ask questions workshop live YouTube Zoom""}'}]",0.00147825,489dd1c9d9
"Why don’t students get the Zoom link for live sessions, and what’s the recommended way to submit questions?","Students don’t get the Zoom link because it’s only shared with instructors, presenters, and TAs.

For live sessions:
- Students should join via **YouTube Live**
- Submit questions through **Slido** (the link is pinned in chat when the session is live)
- Also check the **announcements channel on Telegram/Slack** for the video link before the session starts

Don’t post questions in the live chat, since they can be missed if the room is busy.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.","[{'name': 'search', 'arguments': '{""query"":""Zoom link live sessions students get recommended way to submit questions""}'}]",0.00134025,489dd1c9d9
Is the office hours video posted somewhere in Telegram or Slack before it begins?,Yes — the office hours/live session video URL should be posted in the announcements channel on Telegram and Slack before it begins. You can also watch it live on the DataTalksClub YouTube channel.,"The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.","[{'name': 'search', 'arguments': '{""query"":""office hours video posted Telegram Slack before begins video posted somewhere""}'}]",0.00111375,489dd1c9d9
What’s the best way to begin LLM Zoomcamp and what should I read first?,"Best way to begin:

1. Start with the **LLM Zoomcamp docs**  
   https://datatalks.club/docs/courses/llm-zoomcamp/

2. Then check the **general Zoomcamp logistics docs**  
   https://datatalks.club/docs/courses/zoomcamp-logistics/

3. Also open the **LLM Zoomcamp GitHub repo**  
   https://github.com/DataTalksClub/llm-zoomcamp

A typical workflow is:

- watch the lesson videos
- work through the lesson notebooks/code
- read the homework instructions on GitHub
- submit answers on the course platform before the deadline

If you’re starting a specific module, the FAQ says to **read the GitHub homework instructions first**, not only the course platform page.

If you want, I can also help you find the exact starting point for **Module 1**.","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.","[{'name': 'search', 'arguments': '{""query"":""best way to begin LLM Zoomcamp what should I read first""}'}]",0.0020235,04919992b3
"If I’m starting late, can I still join the course and follow along at my own pace?","Yes — you can still join the course and follow the materials at your own pace.

A couple of important caveats:
- The videos and GitHub materials are available anytime, so you can start whenever you want.
- If you want a certificate, you need to submit your project while submissions are still open and complete the course with the live cohort.
- There are no late homework submissions once the form is closed, but homework is not required for the certificate.

If you want, I can also point you to the recommended starting resources and workflow.","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.","[{'name': 'search', 'arguments': '{""query"":""starting late join course follow along at own pace late enrollment self-paced""}'}]",0.00137925,04919992b3
"What does a normal weekly routine look like for this course — videos, notebooks, homework, then submission?","A normal weekly workflow for the course is:

1. Watch the lesson videos  
2. Go through the lesson notebooks/code  
3. Read the homework instructions on GitHub  
4. Submit your answers on the course platform before the deadline

A couple of useful notes:
- The GitHub repo is the main place to follow for lesson materials and videos.
- Homework may use a different dataset or slightly different task than the lesson.
- Deadlines and submission are handled on the course management platform.

If you want, I can also point you to where the weekly materials and homework links live in the repo.","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.","[{'name': 'search', 'arguments': '{""query"":""normal weekly routine videos notebooks homework submission course""}'}]",0.0014940,04919992b3
Where do I find the deadlines and homework submission link for LLM Zoomcamp?,"You can find the deadlines in the **LLM Zoomcamp course management platform**:

- https://courses.datatalks.club/llm-zoomcamp-2026/

For homework submission, use the **course platform** as well.  
The homework instructions and questions are also available in the course GitHub repo, for example:

- Module 1 materials: https://github.com/DataTalksClub/llm-zoomcamp/tree/main/cohorts/2026/01-agentic-rag
- Module 1 homework instructions: https://github.com/DataTalksClub/llm-zoomcamp/blob/main/cohorts/2026/01-agentic-rag/homework.md

Typical workflow:
1. Read the homework instructions on GitHub.
2. Complete the assignment.
3. Submit through the course platform before the deadline.

","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.","[{'name': 'search', 'arguments': '{""query"":""LLM Zoomcamp deadlines homework submission link""}'}]",0.00179775,04919992b3
"Are the homework tasks the same as the lesson exercises, or do they use different data/tasks?","Usually, no — the homework follows the lesson workflow, but it often uses a different dataset or asks you to apply the same idea in a slightly different way.

So:
- the **concepts** are similar to the lesson exercises,
- but the **exact tasks/data** may be different.

For the exact homework, it’s best to check the GitHub homework instructions as well as the course platform page.","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.","[{'name': 'search', 'arguments': '{""query"":""homework tasks same as lesson exercises different data tasks""}'}]",0.001422,04919992b3
How do I find my own entry on the leaderboard if I can’t spot my name?,"When you create your account, you’re automatically given a random display name on the leaderboard.

To find your own entry:
- Click **“Jump to your record on the leaderboard”**
- If you want to see or change your display name, go to **“Edit Course Profile”**

There you’ll see:
- **First field:** your public nickname/display name
- **Second field:** your official name for the certificate

If you want, I can also explain how the leaderboard name differs from the certificate name.","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!","[{'name': 'search', 'arguments': '{""query"":""find my own entry on the leaderboard if I can\'t spot my name""}'}]",0.00190125,c2903069a0
"Why am I listed under a random name on the leaderboard, and can I change it?","You’re seeing a random display name because the platform automatically assigns one when your account is created, like “Lucid Elbakyan.”

Yes, you can change it:

- Go to **Edit Course Profile**
- **First field**: your public/display name for the leaderboard. You can change this to a nickname, Slack username, GitHub username, etc.
- **Second field**: your official legal name for the certificate. This is what will appear on your certificate.

If you want, I can also explain how to find your exact record on the leaderboard.","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!","[{'name': 'search', 'arguments': '{""query"":""leaderboard random name change it listed under a random name can I change it""}'}]",0.0017640,c2903069a0
Where do I check what display name the course is using for me?,"Check **Edit Course Profile**.

In the FAQ, the **first field** is your **display name / nickname** shown on the leaderboard. If you’re looking for your entry, there’s also a **“Jump to your record on the leaderboard”** link.","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!","[{'name': 'search', 'arguments': '{""query"":""display name course using for me where do I check""}'}]",0.0011595,c2903069a0
What’s the difference between the nickname and the official name in the course profile?,"In the course profile:

- **Nickname / display name**: this is the name shown publicly on the leaderboard. It can be a nickname or even stay anonymous by default.
- **Official name**: this is the name used on your certificate and should match your identification documents.

So, the **nickname is public**, while the **official name is for the certificate**.","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!","[{'name': 'search', 'arguments': '{""query"":""nickname official name course profile difference""}'}]",0.0013650,c2903069a0
How do I make sure my certificate shows my real name instead of the default one?,"Go to **Edit Course Profile** and set the **second field** to your **official/real name** exactly as you want it to appear on the certificate.

A few notes:
- The **first field** is your public display name for the leaderboard.
- The **second field** is the name printed on your certificate.
- If you leave it as the default random name, that default name will appear on the certificate.

So the fix is: **update the certificate name field to your real name in your course profile**.","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!","[{'name': 'search', 'arguments': '{""query"":""certificate real name default name profile name legal name certificate name update""}'}]",0.00154125,c2903069a0
Can I do the course on my own time and still get a certificate at the end?,"No — you can follow the course at your own pace, but you won’t get a certificate in self-paced mode.

The FAQ says certificates are only awarded if you finish with a live cohort, because you need to peer-review 3 capstones after submitting your project, and that peer-review is only available while the course is running.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

We don't award certificates for the self-paced mode. The reason is you need to peer-review 3 capstone(s) after submitting your project.

You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.","[{'name': 'search', 'arguments': '{""query"":""self-paced own time certificate end course FAQ""}'}]",0.0010755,69d122f12e
Is there any way to get a certificate if I’m not joining a live cohort?,"No — according to the FAQ, you can only get a certificate if you finish the course with a live cohort. Self-paced participants don’t get certificates because the capstone requires peer reviewing, which is only possible while the course is actively running.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

We don't award certificates for the self-paced mode. The reason is you need to peer-review 3 capstone(s) after submitting your project.

You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.","[{'name': 'search', 'arguments': '{""query"":""certificate not joining live cohort self-paced certificate live cohort FAQ""}'}]",0.00114975,69d122f12e
Why don’t you give certificates for the self-paced version of the course?,"We don’t award certificates for the self-paced version of the course because the certificate requires peer-reviewing 3 capstone projects after you submit your own project.

That peer-review step is only available while the course is running live with a cohort. After the course ends, the review form closes and the peer-review list is no longer available, so self-paced learners can’t complete that requirement.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

We don't award certificates for the self-paced mode. The reason is you need to peer-review 3 capstone(s) after submitting your project.

You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.","[{'name': 'search', 'arguments': '{""query"":""certificates self-paced version of the course why don\'t you give certificates""}'}]",0.0012990,69d122f12e
Do I need to participate while the course is running in order to qualify for the certificate?,"Yes — to qualify for the certificate, you need to finish the course with the live cohort, not in self-paced mode.

The key reason is that you must peer-review 3 capstone projects after submitting your own, and that peer-review is only available while the course is running.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

We don't award certificates for the self-paced mode. The reason is you need to peer-review 3 capstone(s) after submitting your project.

You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.","[{'name': 'search', 'arguments': '{""query"":""participate while the course is running qualify for the certificate""}'}]",0.00123675,69d122f12e
"Is peer review required for the certificate, and can I do it after the course ends?","Yes — peer review is required for the certificate. You need to review 3 capstone projects, and that can only be done while the course is running.

So if the course has ended and the peer-review form is closed, you can’t do the required peer reviews afterward, which means you wouldn’t be eligible for the certificate.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

We don't award certificates for the self-paced mode. The reason is you need to peer-review 3 capstone(s) after submitting your project.

You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.","[{'name': 'search', 'arguments': '{""query"":""peer review required certificate after course ends""}'}]",0.001098,69d122f12e
Do I still get the certificate if I skipped the first homework?,"Yes — skipping the first homework does **not** prevent you from getting the certificate.

According to the FAQ, you only need to **pass the Capstone project** to receive the certificate. Homework is **not mandatory**, though it is recommended and affects your leaderboard rank.","Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.","[{'name': 'search', 'arguments': '{""query"":""certificate skipped first homework certificate eligibility homework requirement""}'}]",0.001110,9f689c185f
Is the capstone project the only thing I need to pass for the certificate?,"Not quite. For the certificate, you **need to pass the capstone project**, but that’s not the only requirement.

You also need to:
- **Submit the project while the course is still running**
- **Peer-review 3 other capstone projects**

If you’re asking about homework: **homework is not mandatory** for the certificate, though it’s recommended.","Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.","[{'name': 'search', 'arguments': '{""query"":""certificate capstone project only thing need to pass""}'}]",0.00112275,9f689c185f
Are homework assignments required to finish the course and get certified?,"No. Homework assignments are **not required** to finish the course and get certified.

According to the FAQ, the **Capstone project** is what you need to pass for the certificate. Homework is **optional**, though recommended for practice and it can affect your leaderboard rank.","Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.","[{'name': 'search', 'arguments': '{""query"":""homework assignments required finish course get certified""}'}]",0.0010920,9f689c185f
