question,document
I just found this course — is it too late to join now?,74eb249bbf
Can I still start the course if I'm coming in late?,74eb249bbf
"If I enroll now, is there any chance to get a certificate?",74eb249bbf
What do I need to do to be eligible for the course certificate?,74eb249bbf
Is the final project deadline the only thing that matters for getting certified?,74eb249bbf
I signed up for the LLM Zoomcamp — when should I expect the confirmation email?,977bf7786c
Do I actually need to wait for any approval email before I can start the course?,977bf7786c
"If I never got a registration confirmation, can I still begin watching lessons and submitting homework?",977bf7786c
"Is there some accepted list for the LLM Zoomcamp, or can anyone just start once the form is open?",977bf7786c
What is the point of registering for the course if it doesn’t seem to affect access?,977bf7786c
How do students join the Office Hours or live workshop sessions if the Zoom link isn’t public?,489dd1c9d9
Where can I find the live stream link for office hours before the session starts?,489dd1c9d9
"Can I watch the workshop live on YouTube instead of Zoom, and where should I ask questions?",489dd1c9d9
"Why don’t students get the Zoom link for live sessions, and what’s the recommended way to submit questions?",489dd1c9d9
Is the office hours video posted somewhere in Telegram or Slack before it begins?,489dd1c9d9
What’s the best way to begin LLM Zoomcamp and what should I read first?,04919992b3
"If I’m starting late, can I still join the course and follow along at my own pace?",04919992b3
"What does a normal weekly routine look like for this course — videos, notebooks, homework, then submission?",04919992b3
Where do I find the deadlines and homework submission link for LLM Zoomcamp?,04919992b3
"Are the homework tasks the same as the lesson exercises, or do they use different data/tasks?",04919992b3
How do I find my own entry on the leaderboard if I can’t spot my name?,c2903069a0
"Why am I listed under a random name on the leaderboard, and can I change it?",c2903069a0
Where do I check what display name the course is using for me?,c2903069a0
What’s the difference between the nickname and the official name in the course profile?,c2903069a0
How do I make sure my certificate shows my real name instead of the default one?,c2903069a0
Can I do the course on my own time and still get a certificate at the end?,69d122f12e
Is there any way to get a certificate if I’m not joining a live cohort?,69d122f12e
Why don’t you give certificates for the self-paced version of the course?,69d122f12e
Do I need to participate while the course is running in order to qualify for the certificate?,69d122f12e
"Is peer review required for the certificate, and can I do it after the course ends?",69d122f12e
Do I still get the certificate if I skipped the first homework?,9f689c185f
Is the capstone project the only thing I need to pass for the certificate?,9f689c185f
Are homework assignments required to finish the course and get certified?,9f689c185f
"If homework is optional, does it still matter for anything in the course?",9f689c185f
Can I miss the early homework and still be eligible for the certificate?,9f689c185f
Why does this homework keep changing every time I check it?,96286b4be4
What does [DRAFT] in the homework title mean?,96286b4be4
How can I tell if the homework is actually ready and final?,96286b4be4
Can I start doing the assignment before the homework form is open?,96286b4be4
"Is it safe to work on draft homework, or can the questions still change later?",96286b4be4
When is the next time this course will be offered?,bd31146b0e
Do you know when llm-zoomcamp is scheduled again?,bd31146b0e
Is there a date for the next course run?,bd31146b0e
When can I expect this course to open next?,bd31146b0e
What’s the next offering of the course?,bd31146b0e
Where can I find the course lectures or videos for LLM Zoomcamp?,31456f4b5f
Is there a main page or repo I should start from to access the lesson videos?,31456f4b5f
I’m looking for the videos for each lesson — where are they linked?,31456f4b5f
Should I use the GitHub repo or the YouTube playlist to find the course videos?,31456f4b5f
What’s the easiest way to get to the lectures without missing updates?,31456f4b5f
"Where should I check the LLM Zoomcamp syllabus, homework deadlines, and my progress for the current cohort?",20c5a1347e
Is there one place to follow the course structure and keep track of assignments in LLM Zoomcamp?,20c5a1347e
"What website do we use for LLM Zoomcamp to see deadlines, homework, and cohort progress?",20c5a1347e
How can I monitor my progress and find the current homework schedule for this zoomcamp?,20c5a1347e
Where is the official course platform for tracking the syllabus and deadlines in LLM Zoomcamp?,20c5a1347e
Do we get live classes or office hours for every module in LLM Zoomcamp?,d65e05bd7a
"Are the module lessons recorded, or are there separate live sessions for each one?",d65e05bd7a
"If I get stuck on a module, where should I ask for help in the course?",d65e05bd7a
Is there any extra paid option with Zoom office hours for this course?,d65e05bd7a
"Are live sessions part of the free course, or only announced sometimes?",d65e05bd7a
Can I count my Bluesky posts toward the learning in public credits for this course?,dbf5369006
"Are Bluesky posts accepted for the learning in public requirement, or do they not count?",dbf5369006
"If I share my progress on Bluesky, can that be used as learning in public credit?",dbf5369006
Does this course allow Bluesky activity to be included in learning in public credits?,dbf5369006
Can posts I make on Bluesky qualify for the public learning credits in the course?,dbf5369006
